timestamp,acc_x,acc_y,acc_z
1751946130.7677138,-0.00479,0.00741,-1.0031
1751946130.8688693,0.02402,0.00846,-1.00054
1751946130.9869711,0.26066,0.03794,-1.01948
1751946131.0879023,0.08692,-0.05893,-0.9883
1751946131.186896,0.16336,0.02358,-1.03476
1751946131.2879035,0.12858,0.01592,-1.03482
1751946131.3879244,-0.14641,0.01946,-0.94909
1751946131.487647,0.20554,-0.02253,-1.00087
1751946131.589233,-0.24467,0.03053,-0.99302
1751946131.6876757,-0.1583,0.09063,-1.02623
1751946131.7876084,0.14559,-0.00044,-0.94888
1751946131.887299,-0.33775,-0.05111,-0.94823
1751946131.9869006,-0.00963,0.07693,-0.96659
1751946132.0890934,-0.26969,0.03818,-0.99227
1751946132.1875827,0.17326,-0.04162,-1.01374
1751946132.2888908,-0.22456,-0.06627,-1.00753
1751946132.3871334,-0.09505,-0.0143,-1.01371
1751946132.4885092,0.08893,-0.01481,-1.00968
1751946132.5873344,0.11949,0.00497,-1.00785
1751946132.7085433,-0.03827,0.02817,-0.99518
1751946132.808771,-0.08246,0.02409,-1.01007
1751946132.907442,-0.01349,0.01151,-0.99985
1751946133.0081017,0.06264,0.00646,-1.01865
1751946133.1076329,0.06166,0.01916,-1.00971
1751946133.208007,0.00617,0.0331,-0.9836
1751946133.306805,-0.03676,0.01173,-1.00527
1751946133.4077294,0.00719,-0.00276,-1.00906
1751946133.5078762,0.02188,0.00628,-1.03334
1751946133.6076992,0.02585,-0.01297,-1.0044
1751946133.7068455,-0.00146,0.03189,-0.98432
1751946133.8068311,0.00495,0.05783,-1.00156
1751946133.9108543,0.03704,-0.0371,-0.99972
1751946134.0070002,0.3335,0.05908,-1.01999
1751946134.107822,0.08528,0.00401,-0.99988
1751946134.2074914,0.19939,0.00872,-1.00549
1751946134.3068314,0.04452,0.04396,-0.97654
1751946134.4082909,-0.12256,-0.01193,-0.96292
1751946134.507696,0.18504,0.04469,-1.05502
1751946134.609771,-0.26598,-0.01396,-1.00914
1751946134.707339,-0.1002,-0.022,-0.99739
1751946134.8080547,0.08021,0.04085,-1.00145
1751946134.9079075,-0.29479,-0.02051,-1.01116
1751946135.0076454,0.14311,-0.00059,-1.02198
1751946135.1294763,-0.14148,0.01525,-1.04088
1751946135.2296553,-0.1726,0.01015,-1.00063
1751946135.3305595,0.1654,0.00471,-1.0048
1751946135.4310722,-0.27022,-0.15643,-1.00286
1751946135.5277553,-0.11978,-0.03022,-0.99432
1751946135.6295002,0.09577,0.09289,-1.00156
1751946135.7298422,0.12454,-0.0256,-0.99993
1751946135.827212,-0.00487,-0.03458,-0.99247
1751946135.928348,-0.04902,0.04182,-0.98274
1751946136.0275018,-0.01777,0.07514,-0.98351
1751946136.128435,0.06192,0.0222,-1.01289
1751946136.247613,0.06256,-0.01806,-1.01331
1751946136.3475492,0.00818,-0.00608,-1.01446
1751946136.4474912,-0.01395,0.02165,-0.99224
1751946136.5472934,0.00482,0.0255,-0.96748
1751946136.647627,0.04296,0.07156,-1.02289
1751946136.7487595,0.02404,-0.04544,-0.99888
1751946136.846683,-0.02511,-0.07429,-0.9973
1751946136.9489362,0.06087,0.16249,-0.99997
1751946137.0485387,-0.05214,-0.00245,-0.99836
1751946137.148309,0.26112,0.0129,-0.98499
1751946137.2484555,0.1616,0.00433,-0.97562
1751946137.348137,0.10704,-0.01336,-1.01348
1751946137.448639,0.10865,0.00985,-0.99744
1751946137.5488155,-0.11206,-0.00728,-0.99446
1751946137.6487665,0.12318,-0.02938,-0.99601
1751946137.755515,-0.0778,-0.01214,-1.06308
1751946137.8477504,-0.28704,-0.00342,-1.00379
1751946137.9684374,0.19427,0.05564,-1.01321
1751946138.0687263,-0.23338,0.04116,-0.99096
1751946138.168034,-0.04558,0.04128,-0.9713
1751946138.2684174,0.13936,0.00305,-1.00476
1751946138.3687117,-0.27575,0.04778,-1.00501
1751946138.4685729,0.07513,-0.00033,-1.00696
1751946138.5687115,-0.02132,-0.01993,-1.00136
1751946138.6680126,-0.2484,-0.02266,-1.00239
1751946138.7685604,-0.072,-0.01187,-1.02519
1751946138.8686943,0.14524,-0.0023,-1.01303
1751946138.9682815,0.08661,-0.05293,-1.00092
1751946139.068546,-0.06521,-0.01124,-0.99966
1751946139.1680932,-0.08025,0.02615,-1.00655
1751946139.2686963,-0.02569,-0.00198,-1.03119
1751946139.3677683,0.0909,-0.02184,-1.00186
1751946139.4692998,0.01695,-0.04816,-0.97203
1751946139.5678728,-0.02775,0.00621,-1.01799
1751946139.667727,-0.03563,-0.00646,-1.00022
1751946139.8088152,0.02702,-0.03994,-0.99293
1751946139.9089625,0.00116,-0.03138,-0.99147
1751946140.0097096,-0.00402,0.03819,-1.0086
1751946140.1079617,-0.0047,0.05143,-1.00161
1751946140.2087772,0.19616,0.00122,-1.00277
1751946140.308759,0.20746,0.01479,-1.00924
1751946140.4114215,0.10129,-0.0026,-1.00483
1751946140.5089335,0.18936,-0.05144,-0.99461
1751946140.6081693,-0.12297,0.0058,-1.02303
1751946140.709941,0.0545,0.00199,-0.96694
1751946140.8090692,0.07782,0.00668,-1.01081
1751946140.9282107,-0.31638,0.00834,-1.01431
1751946141.0290933,0.09067,-0.04183,-1.03623
1751946141.1312935,-0.16522,0.00453,-0.98137
1751946141.2286642,-0.13295,0.00813,-0.97876
1751946141.3290763,0.12697,0.03107,-1.02572
1751946141.4281473,-0.2797,0.00884,-1.02012
1751946141.52854,0.04105,0.01394,-1.00599
1751946141.6274073,-0.24124,-0.28231,-0.98687
1751946141.7281525,-0.13645,-0.03042,-1.00904
1751946141.84865,0.10995,0.06188,-1.00907
1751946141.9483926,0.10412,-0.01012,-1.00202
1751946142.0482142,-0.00323,-0.01332,-1.02739
1751946142.1487331,-0.06866,0.02158,-1.00811
1751946142.2485282,-0.04608,-0.02025,-0.99473
1751946142.3491623,0.05732,0.0169,-0.99836
1751946142.4693034,0.05725,0.01584,-1.00922
1751946142.571424,-0.02148,-0.0528,-0.97033
1751946142.6694138,0.00268,0.08092,-1.00841
1751946142.7704427,0.00839,0.05153,-1.01039
1751946142.8698442,0.0331,0.01648,-1.00238
1751946142.9707737,0.01017,-0.03089,-1.01251
1751946143.072796,-0.01666,-0.03683,-0.99641
